PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,WinPCT,TS_PCT,PTS_per36,AST_per36,REB_per36,STL_per36,BLK_per36,TOV_per36
1631221,Collin Gillespie,Collin,1610612756,PHX,26.0,76,41,35,0.539,28.8,4.5,10.7,0.422,3.0,7.3,0.408,1.0,1.1,0.871,1.1,3.0,4.1,4.8,1.6,1.3,0.2,0.4,1.7,1.7,13.0,2.5,27.8,3,0,27.7,23,74,91,256,109,151,125,399,19,21,78,291,322,95,169,192,188,58,138,57,357,237,288,195,139,102,122,122,31,113,1,2025-26,0.545,0.5811874105865522,16.25,6.0,5.125,1.625,0.25,2.0
1629012,Collin Sexton,Collin,1610612741,CHI,27.0,63,23,40,0.365,23.2,5.2,10.5,0.49,1.7,4.1,0.408,3.2,3.7,0.86,0.5,1.6,2.0,3.3,2.0,1.0,0.2,0.8,2.0,3.4,15.2,-1.7,24.0,1,0,24.5,160,248,60,400,211,117,127,178,123,160,77,63,72,113,399,387,399,118,77,126,402,63,203,62,97,378,162,187,31,143,2,2025-26,0.377,0.6266490765171504,23.586206896551722,5.120689655172414,3.1034482758620694,1.5517241379310347,0.3103448275862069,3.1034482758620694
1642843,Cooper Flagg,Cooper,1610612742,DAL,19.0,65,20,45,0.308,33.8,7.9,16.8,0.472,1.0,3.5,0.293,3.9,4.8,0.816,1.2,5.4,6.6,4.5,2.4,1.2,0.9,1.1,2.1,4.1,20.8,-4.4,39.6,12,0,37.2,136,290,30,436,23,26,26,230,257,204,415,42,46,201,139,41,66,63,51,62,51,19,173,38,36,512,33,44,31,37,1,2025-26,0.312,0.5499153976311337,22.153846153846153,4.792899408284024,7.0295857988165675,1.2781065088757397,0.9585798816568049,2.5562130177514795
1641854,Craig Porter Jr.,Craig,1610612739,CLE,26.0,60,40,20,0.667,17.6,1.8,4.0,0.439,0.5,1.5,0.345,0.3,0.6,0.556,1.3,2.0,3.3,3.2,0.9,0.9,0.6,0.3,1.1,0.8,4.3,1.3,16.5,0,0,14.2,192,85,308,92,325,393,390,340,382,403,258,464,438,505,131,318,266,126,287,143,128,310,435,379,413,158,292,257,31,329,1,2025-26,0.623,0.5042213883677298,8.795454545454545,6.545454545454546,6.749999999999999,1.8409090909090908,1.227272727272727,1.8409090909090908
1642450,Daniss Jenkins,Daniss,1610612765,DET,24.0,68,51,17,0.75,20.1,3.3,7.9,0.415,1.0,2.7,0.384,1.8,2.2,0.818,0.7,1.5,2.3,3.8,1.5,0.9,0.2,0.6,1.5,2.0,9.4,3.1,19.5,3,0,18.6,92,13,346,46,277,234,202,423,243,276,137,153,171,199,301,391,380,87,147,161,347,110,342,163,225,84,235,122,31,240,1,2025-26,0.731,0.5299954894000902,16.83582089552239,6.805970149253731,4.119402985074626,1.6119402985074627,0.3582089552238806,2.6865671641791042
1630558,Davion Mitchell,Davion,1610612748,MIA,27.0,67,36,31,0.537,28.6,3.7,7.6,0.483,1.3,3.3,0.395,0.6,0.9,0.672,0.4,2.3,2.7,6.5,1.5,1.0,0.2,0.3,2.6,1.2,9.2,3.5,24.2,4,0,22.0,105,127,139,260,114,207,217,197,187,218,100,389,366,432,403,287,324,21,146,113,396,302,66,286,230,72,159,105,31,181,1,2025-26,0.526,0.5752876438219109,11.580419580419578,8.181818181818182,3.3986013986013983,1.2587412587412585,0.2517482517482518,1.8881118881118881
1630549,Day'Ron Sharpe,Day'Ron,1610612751,BKN,24.0,62,17,45,0.274,18.7,3.5,5.7,0.601,0.1,0.6,0.231,1.7,2.5,0.678,2.8,3.9,6.7,2.3,1.7,1.1,0.4,0.5,2.4,2.0,8.7,-1.8,23.0,5,0,20.9,169,322,30,462,303,219,298,47,468,475,458,171,146,428,26,121,64,193,124,98,185,156,103,164,240,395,174,94,31,201,1,2025-26,0.234,0.639705882352941,16.748663101604276,4.427807486631016,12.898395721925136,2.1176470588235294,0.770053475935829,3.272727272727273
1628368,De'Aaron Fox,De'Aaron,1610612759,SAS,28.0,68,52,16,0.765,31.0,7.0,14.4,0.488,1.8,5.4,0.331,2.6,3.5,0.762,0.6,3.2,3.8,6.2,2.3,1.2,0.3,0.7,2.3,2.6,18.5,6.3,34.4,7,0,33.2,92,12,356,40,67,47,51,185,113,87,317,86,83,309,333,178,214,26,60,60,310,71,133,105,59,23,58,68,31,63,1,2025-26,0.756,0.5803011292346298,21.483870967741936,7.2,4.412903225806452,1.3935483870967742,0.34838709677419355,2.670967741935484
201942,DeMar DeRozan,DeMar,1610612758,SAC,36.0,76,20,56,0.263,31.5,6.5,13.2,0.495,0.6,1.9,0.315,4.9,5.7,0.868,0.5,2.5,3.0,4.2,1.3,1.1,0.3,0.5,2.0,4.1,18.6,-7.8,31.1,2,0,29.0,23,290,4,473,53,62,73,173,354,342,363,28,32,99,398,252,296,67,205,104,286,174,221,40,58,564,88,150,31,100,1,2025-26,0.269,0.5920550038197098,21.257142857142856,4.8,3.4285714285714284,1.2571428571428571,0.3428571428571428,1.4857142857142858
1629028,Deandre Ayton,Deandre,1610612747,LAL,27.0,67,43,24,0.642,27.3,5.6,8.3,0.674,0.0,0.0,0.0,1.2,1.9,0.63,2.6,5.6,8.2,0.8,1.2,0.6,0.9,0.4,2.2,1.6,12.4,-0.5,26.8,21,0,24.4,105,53,243,129,137,99,189,13,503,536,503,242,202,471,33,35,33,423,215,308,50,243,148,214,147,294,132,20,31,145,1,2025-26,0.649,0.6786339754816112,16.35164835164835,1.054945054945055,10.813186813186812,0.7912087912087912,1.1868131868131868,1.5824175824175823
